HotelName,RoomType,DoubleBed,SingleBed,Price
ibis Budget - St Peters,Standard Queen Room,Yes,No,5173
Stamford Plaza Sydney Airport Hotel & Conference Centre,Superior Twin Room,Yes,No,12779
57Hotel,Double Room,Yes,No,14726
The Strand Hotel,Deluxe,No,Yes,19213
ibis budget Sydney Airport,Classic Queen Room,No,Yes,7865
"Holiday Inn Express Sydney Airport, an IHG Hotel",Standard Room,Yes,No,11032
W Sydney,Wonderful Double Room with Two Double Beds and City View,Yes,No,39534
"Holiday Inn Parramatta, an IHG Hotel",Standard Room,Yes,No,12615
Garden Lodge Sydney Hotel,Deluxe Queen Room,No,Yes,7553
No 9 Springfield,Deluxe Double Room,Yes,No,9008
"Holiday Inn Express Sydney Macquarie Park, an IHG Hotel",Standard Room - Bed Type Allocated on Check-in,Yes,No,13143
The Jensen Potts Point,Double Room with Shared Bathroom,Yes,No,10149
Punthill Parramatta,Superior One Bedroom Apartment – Open Plan,No,Yes,17365
Rydges World Square,Executive King Room,Yes,No,22644
"Crowne Plaza Sydney Burwood, an IHG Hotel",1 King Bed Standard Park View,Yes,No,12826
Veriu Central,Micro Queen,No,Yes,18738
Novotel Sydney Parramatta,Standard Queen Room,Yes,No,15254
Hyatt Regency Sydney,King Room with Harbour View,Yes,No,29347
Oaks Sydney North Ryde Suites,Executive Studio,No,Yes,10504
Mercure Sydney,Standard Family Room with Two Double Beds,Yes,No,19424
Central Studio Hotel Sydney,Deluxe King Room,Yes,No,14779
The Sarah by Urban Rest,The Double Petite,Yes,No,13824
Mercure Sydney Macquarie Park,Standard Queen Room,Yes,No,11182
Radisson Blu Plaza Hotel Sydney,Superior Twin Room,Yes,No,26286
The Ultimo,Ultimo Trio Room,No,Yes,18790
Avoca Randwick by Sydney Lodges,Small Double Room,Yes,No,8181
Amora Hotel Jamison Sydney,Deluxe Park Suite,Yes,No,22710
View Sydney,Harbour Bridge King Room,Yes,No,19506
Novotel Sydney Brighton Beach,Standard King Room,Yes,No,14990
ibis Sydney Darling Harbour,Standard Twin Room,Yes,No,20509
Travelodge Hotel Hurstville Sydney,Queen Room,No,Yes,10186
Quality Inn Sunshine Haberfield,Queen Room - Non-Smoking,No,Yes,10504
Value Suites Green Square,Queen Suite,Yes,No,8920
Mariners Court Hotel Sydney,Twin Room,Yes,No,10095
ibis Budget - Enfield,Standard Queen Room,Yes,No,12193
Haven Glebe,Standard Queen Room - Haven,Yes,No,12293
Adina Apartment Hotel Sydney Town Hall,Premier One Bedroom Apartment Queen,No,Yes,21166
Twin Towers Inn,Standard Queen Room,Yes,No,9976
Mercure Sydney Manly Warringah,Standard Queen Room,Yes,No,10881
Rydges Parramatta,Superior King Room,Yes,No,14146
Quest North Sydney,Studio Apartment,No,Yes,17524
Song Hotel Sydney,Twin Room Ensuite,Yes,No,13254
Hyde Park Inn,Deluxe Studio,No,Yes,17036
Sydney Harbour Marriott Hotel at Circular Quay,"Deluxe City View Twin, Guest room, 2 Double",Yes,No,29505
Nightcap at the Ranch Hotel,King Studio,Yes,No,9222
Rydges Sydney Central,Deluxe King Room,Yes,No,21060
Quest Macquarie Park,Studio Apartment,No,Yes,14515
Meridian Hotel Hurstville,Queen Room,No,Yes,7672
Royal Hotel Randwick,Queen Room,No,Yes,11084
The Darling at The Star,Darling King Room,Yes,No,24808
Park Regis City Centre,Standard Double or Twin Room,Yes,No,17893
Adge Hotel and Residences,Adge Queen,No,Yes,12069
Coogee Studio Apartments,Studio Apartment - Double,Yes,No,12287
"Holiday Inn Sydney Airport, an IHG Hotel",Standard Room,Yes,No,15254
Best Western Plus Camperdown Suites,Deluxe Queen Room,No,Yes,13694
Darcy's Hotel,Standard King Room with Shared Bathroom,Yes,No,7390
"Aerotel Sydney (Arrivals B, International Terminal 1)",Double Room (Overnight Stay),Yes,No,13419
"Holiday Inn & Suites - Parramatta Marsden Street, an IHG Hotel",1 king Bed Standard,Yes,No,10504
Cozy M Hotel,Deluxe Queen Room with Shared Bathroom,No,Yes,8656
YEHS Hotel Sydney QVB,Premium Family Room,No,Yes,17897
Silkari Suites at Chatswood,Executive Studio,No,Yes,12140
Pullman Sydney Hyde Park,Classic King Room,Yes,No,21060
Vibe Hotel Sydney,Vibe Queen Room,No,Yes,20379
Ryde Inn,Queen Room,No,Yes,7838
"Holiday Inn & Suites Sydney Bondi Junction, an IHG Hotel",Standard Room,Yes,No,12984
Hotel Bondi,Queen Room,No,Yes,11404
The Clovelly Hotel,King Room,Yes,No,12140
Capella Sydney,Deluxe Twin Room,Yes,No,39587
The Baxley Bondi,Double Room with Shared Bathroom,Yes,No,10149
Hotel Challis Potts Point,Queen Room,No,Yes,18890
Sofitel Sydney Darling Harbour,Superior Room with One King Bed,Yes,No,29505
Oasis on Beamish Hotel,King Room with Shared Bathroom,Yes,No,6809
Little Coogee Hotel,Double Room,Yes,No,11612
The Urban Newtown,Queen Studio,No,Yes,15835
"Holiday Inn Darling Harbour, an IHG Hotel",Standard Room,Yes,No,20532
Rydges Sydney Harbour,Queen Room,No,Yes,18474
Studio 8 Residences - Adults Only,Deluxe Queen Studio ,No,Yes,9532
Hotel Hacienda,El Nido,No,Yes,7850
QT Sydney,QT King Room,Yes,No,25283
Little National Hotel Sydney,Little National King Room,Yes,No,21678
Sydney Park Hotel,Double Room with Shared Bathroom,Yes,No,7337
Manly Pacific Sydney MGallery Collection,Standard Queen Room,Yes,No,20004
Quest Mascot,One-Bedroom Apartment,No,Yes,13234
Metro Aspire Hotel Sydney,Double or Twin Room,Yes,No,13776
Pullman Sydney Airport,Deluxe Executive Double Room with Two Double Beds - High Floor,Yes,No,22807
Regents Court Sydney,Studio Apartment,No,Yes,12879
A by Adina Sydney,One-Bedroom Apartment,No,Yes,23285
Royal Pacific Hotel,Deluxe Queen Room,No,Yes,12087
Swissotel Sydney,Premier King Room,Yes,No,23513
The General Gordon,Queen Room,No,Yes,9501
The Sebel Sydney Manly Beach,Standard Studio,Yes,No,16838
The North Sydney Hotel,Queen Room with Garden View,No,Yes,11612
Stay at Hotel Steyne,Queen Room,No,Yes,17946
PARKROYAL Parramatta,Superior King Room,Yes,No,15782
Darlo Bar Darlinghurst,Double Room with Shared Bathroom,Yes,No,8920
Sydney Potts Point Central Apartment Hotel,Queen Studio,No,Yes,10440
"InterContinental Sydney Double Bay, an IHG Hotel",Classic Double Room with Two Double Beds and Courtyard View,Yes,No,24016
The North Shore Hotel,Standard  Room,Yes,No,8370
Nesuto Parramatta,Studio Queen Apartment,No,Yes,10700
Quest St Leonards,Studio Superior,No,Yes,17777
Mantra Parramatta,Studio,No,Yes,12615
Best Western Plus Hotel Stellar,"Studio, 1 Queen Bed",No,Yes,13489
Neutral Bay Lodge,Twin Room with Shared Bathroom,Yes,No,7490
ibis Sydney Barangaroo,Standard Queen Room,Yes,No,19477
"HOTEL MORRIS SYDNEY, Handwritten Collection",PICCOLO QUEEN,No,Yes,18479
A Linha Petersham,Deluxe Queen Studio ,No,Yes,14696
Royal Exhibition Hotel,Deluxe Double Room,Yes,No,12285
Pullman Quay Grand Sydney Harbour,Deluxe One-Bedroom Apartment with Garden View,No,Yes,32039
Citadines Walker North Sydney,Studio,No,Yes,14761
Comfort Inn & Suites Burwood,Single Room,No,Yes,9976
Adina Apartment Hotel Coogee Sydney,Queen Studio,No,Yes,15629
Mantra 2 Bond Street,Executive Studio Apartment,No,Yes,24227
The Bayswater Sydney,Small Double Room,Yes,No,10293
Dive Hotel,Standard Double Room,Yes,No,12668
Manly Paradise Motel & Apartments,Motel Queen Room ,No,Yes,13459
Crown Hotel Surry Hills,Superior Triple Room,No,Yes,13489
Aiden by Best Western Darling Harbour,Twin Room with Street View - Non-Smoking,Yes,No,23171
Criterion Hotel Sydney,Superior King Room,Yes,No,13987
Adina Apartment Hotel Sydney Surry Hills,One-Bedroom Apartment with City View,No,Yes,15750
The Old Clare Hotel,King Room - Connell,Yes,No,23171
Ace Hotel Sydney,Small Room - Queen or King,Yes,No,20854
Horse and Jockey Hotel Homebush,Queen Room with Shared Bathroom,No,Yes,9448
Mercantile Hotel,Double Room with Shared Bathroom,Yes,No,7865
"Hotel Harry, Ascend Hotel Collection",Superior Double Suite - Non-Smoking,Yes,No,12140
Medusa Hotel Sydney,Deluxe Room,No,Yes,14263
YEHS Hotel Sydney Harbour Suites,Premium Queen Room with Kitchen ,No,Yes,17306
The Star Grand Hotel and Residences Sydney,Superior Twin Room,Yes,No,27341
Meriton Suites Waterloo,One Bedroom Street Suite,Yes,No,10556
The Albert Mosman,Standard King or Twin Room,Yes,No,16310
Bridgeview Hotel Willoughby,Standard Double Room with Shared Bathroom,Yes,No,6809
The York by Swiss-Belhotel,One Bedroom Suite,Yes,No,21799
Coogee Sands Hotel & Apartments,Deluxe Queen Studio ,No,Yes,14251
Shangri-La Sydney,Horizon Darling Harbour King with Club lounge Access,Yes,No,27183
Meriton Suites Zetland,One Bedroom Modern Suite ,Yes,No,10029
"Meriton Suites Coward Street, Mascot",One Bedroom Luxury Twin Suite,Yes,No,17682
Meriton Suites Bondi Junction,One-Bedroom Luxury Suite,Yes,No,16626
The Porter House Hotel Sydney - MGallery,Classic King Room,Yes,No,22010
Perouse Randwick by Sydney Lodges,Lower Ground Room,No,Yes,9005
Adina Apartment Hotel Bondi Beach Sydney,Studio,No,Yes,21042
Mantra Hotel at Sydney Airport,King Studio,Yes,No,11559
Four Seasons Hotel Sydney,Superior City Accessible Queen Room,No,Yes,26391
Ballantyne at Mosman - Serviced Apartments,Studio Apartment,No,Yes,10926
Vulcan Hotel Sydney,Standard Queen Room,Yes,No,14805
Harbour Rocks Hotel Sydney,Heritage Queen Room,No,Yes,19904
Southern Cross Hotel,Standard Double Room,Yes,No,6281
Greenacre Hotel,Queen Room with Shared Bathroom ,No,Yes,4856
Dunkirk Hotel Pyrmont,Double Room with Private Bathroom,Yes,No,7059
The Sebel Quay West Suites Sydney,Premium King Apartment with City View,Yes,No,24016
Coogee Bay Boutique Hotel,Boutique District View,No,Yes,20544
The Woolstore 1888 by Ovolo,King Room,Yes,No,22538
BreakFree on Broadway Sydney,Standard King Room,Yes,No,10504
Mrs Banks Hotel,Standard Queen Room,Yes,No,15782
Meriton Suites Chatswood,One-Bedroom Modern Suite,Yes,No,15043
202 Elizabeth,The Surry,No,Yes,17893
"PARKROYAL Darling Harbour, Sydney",Premier King Room,Yes,No,28502
The Erko Hotel,Double Room with Shared Bathroom,Yes,No,7601
ibis Budget Sydney Olympic Park,Standard Twin Room,Yes,No,15729
Fraser Suites Sydney,Deluxe One-Bedroom Suite,Yes,No,26655
QT Bondi,King Studio,Yes,No,19793
Spicers Potts Point,King Room,Yes,No,24227
The Branksome Hotel & Residences,Studio Suite with Airport Facing,Yes,No,11313
Zara Tower – Luxury Suites and Apartments,One-Bedroom Apartment,No,Yes,25190
Quest Manly,Studio Apartment,No,Yes,20374
The Langham Sydney,Deluxe Room with City View,No,Yes,29453
Adina Apartment Hotel Chippendale,Two-Bedroom Apartment,No,Yes,22973
Bayswater Boutique Lodge,Superior Double Studio Terrace with Shared Bathroom,Yes,No,7675
Kirketon Hotel Sydney,Executive Double Room,Yes,No,10977
APX Parramatta,Executive One-Bedroom Apartment (Limited Housekeeping),No,Yes,9467
The Resch House,Queen Room with Shared Bathroom,No,Yes,7838
Nesuto Woolloomooloo,Studio Apartment,No,Yes,11148
Hotel Ravesis,King Room with Side View ,Yes,No,22380
Crown Towers Sydney,Deluxe King Room,Yes,No,36895
"Kimpton Margot Sydney, an IHG Hotel",Standard Room,Yes,No,23705
Sydney Boutique Hotel,Budget Double Room,Yes,No,9127
Veriu Camperdown,One Bedroom Apartment,No,Yes,14779
Veriu Randwick,Veriu Suite,Yes,No,12351
Melton Hotel Auburn,Economy Twin Room with Shared Bathroom ,Yes,No,5120
Quest at Sydney Olympic Park,Studio,No,Yes,25863
Arthur's Hotel Bondi Junction,Deluxe Double Room,Yes,No,10530
The Miller Hotel North Sydney,Deluxe Queen Room,No,Yes,10820
Metro Apartments On Darling Harbour,One-Bedroom Apartment,No,Yes,17365
Grand Hotel Sydney,Double Room with Shared Bathroom,Yes,No,10029
28 Hotel,Small Twin Room - No Window,Yes,No,12087
Crystalbrook Albion,Superior King Room - Master,Yes,No,25599
Nesuto Chippendale,One-Bedroom Apartment,No,Yes,11883
Lakemba Hotel,Superior Queen Room,No,Yes,6176
Novotel Sydney Central,Standard King Room,Yes,No,21060
Veriu Broadway,Junior Suite,Yes,No,24808
Mantra Sydney Central,Studio Queen,No,Yes,15782
Hurstville Ritz Hotel,Double Room with Private Bathroom,Yes,No,6545
Ovolo Woolloomooloo,Deluxaroo - Double Double,Yes,No,27975
Establishment Hotel,Studio,No,Yes,22579
"Meriton Suites Pitt Street, Sydney",One bedroom Luxury Suite ,Yes,No,22169
Strathfield Hotel,Twin Room with Shared Bathroom,Yes,No,5542
"Crowne Plaza Sydney Darling Harbour, an IHG Hotel",Standard Room,Yes,No,25019
Wynyard Hotel,Quad Room Shared Bathroom,No,Yes,9453
"Meriton Suites World Tower, Sydney",Two-Bedroom Luxury Suite,Yes,No,27711
Pullman Sydney Olympic Park,Superior King Room - Disability Access,Yes,No,21588
Kingsgrove Hotel,Deluxe Double Room,Yes,No,9226
Penshurst Hotel,Deluxe Double Room,Yes,No,6603
Mary MacKillop Place,King room with Shower,Yes,No,12034
Fiori Apartments,Studio Apartment,No,Yes,9818
Kith Hotel Darling Harbour,Standard Queen Room,Yes,No,16394
SKYE Suites Sydney,Executive Studio Suite,Yes,No,31353
Savoy Double Bay Hotel,Partner offer option,No,Yes,8645
Strathfield Executive Accommodation,Standard Double Suite,Yes,No,10560
Hotel St Leonards,Standard Double Room,Yes,No,9448
Charing Cross Hotel,Double Room,Yes,No,7337
Illinois Hotel,Queen Room with Shared Bathroom,No,Yes,5753
Wiley Park Hotel,Double Room with Shared Bathroom,Yes,No,5753
Marco Polo Motor Inn Sydney,Standard Queen Room,Yes,No,8590
Wildlife Retreat at Taronga,"	 Bushland View Room - Breakfast, Tour & Zoo Admission",No,Yes,29215
Granville Hotel,Economy Queen with Shared Facilities ,No,Yes,5648
"Pier One Sydney Harbour, Autograph Collection",Heritage King Room,Yes,No,22116
Grand Hotel Rockdale,Budget Double Room with Shared Bathroom,Yes,No,6281
Rosehill Hotel,Double Room with Shared Bathroom,Yes,No,5753
Campsie Hotel,Double Room with Shared Bathroom,Yes,No,4964
Sir Stamford Circular Quay,Superior Twin Room,Yes,No,25283
Sheraton Grand Sydney Hyde Park,"Inner Queen, Smaller Guest room, 1 Queen",No,Yes,33200
APX World Square,Executive Twin Studio Apartment (Limited Housekeeping,Yes,No,19382
Airport Hotel Sydney,Deluxe Double Room,Yes,No,6758
Macleay Hotel,Studio with District View,No,Yes,14779
"West Hotel Sydney, Curio Collection by Hilton",King Sussex Suite,Yes,No,72787
"Four Points by Sheraton Sydney, Central Park",Superior King Room,Yes,No,21060
The Sebel Sydney Chatswood,Standard Two-Bedroom Apartment,Yes,No,18527
Q Station,Queen Room with External Private Bathroom,No,Yes,10504
Coogee Bay Hotel,Double Room,Yes,No,14885
Blues Point Hotel,Queen Room with Shared Bathroom,No,Yes,7390
Quest Chatswood,One-Bedroom Apartment,No,Yes,13987
Royal Hotel Ryde,Queen Room with Shared Bathroom,No,Yes,8656
Terminus Hotel Pyrmont,Double Room with Shared Bathroom,Yes,No,9448
UNO Hotel Sydney,Studio,No,Yes,12087
Devere Hotel,Standard Twin Room - Internal Room,Yes,No,7005
"Carnarvon Lodge Kirribilli, Sydney",Double Room with Private Bathroom,Yes,No,7865
Wentworth Hotel,Budget Double Room -  Shared Bathroom,Yes,No,5225
Beach Road Hotel,Standard Queen Room,Yes,No,12668
Hotel Concord,Queen Room with Shared Bathroom,No,Yes,6017
Cityview Studio Accommodation,Deluxe Queen Studio ,No,Yes,7865
Peppers Manly Beach,One Bedroom Apartment with Ocean View,No,Yes,45530
APX Darling Harbour,Executive Studio (Limited Housekeeping),No,Yes,18125
Shakespeare Hotel,Queen Room with Shared Bathroom - 4,No,Yes,10556
Palace Hotel Mortlake Sydney,Queen Room with Shared Bathroom,No,Yes,6281
Manly Waves Studios & Apartments,Deluxe Queen Studio ,No,Yes,12814
The Bercin,Apartment,No,Yes,56530
"Hotel Style Monterey Guest Studio near Hospitals, Beach and Airport",Studio with Garden View,No,Yes,10029
VENUS Harbourside - FEMALE ONLY HOSTEL - Long stay negotiable,Bed in 4-Bed Female Dormitory Room,No,Yes,4128
APA Hotel Yamanote Otsuka Eki Tower,Standard Double Room - Non-Smoking,Yes,No,7055
APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,Double Room with Small Double Bed - Non-Smoking,Yes,No,9952
APA Hotel & Resort Ryogoku Eki Tower,Double Room-Non-Smoking,Yes,No,7555
APA Hotel Pride Kokkaigijidomae - National Diet Bldg.,Standard Double Room (2 Adults) - Non-Smoking,Yes,No,9952
APA Hotel Shinjuku-Kabukicho Tower,Double Room - Non-Smoking ,Yes,No,12064
the b asakusa,Standard Double Room - Non-Smoking,Yes,No,11253
TOKIO's HOTEL,Deluxe Twin Room - Non-Smoking - No Cleaning for Consecutive Night Stays,Yes,No,5047
APA Hotel Roppongi SIX,Double Room - Electric cigarette only,Yes,No,8562
APA Hotel Asakusabashi Ekimae,Standard Double Room for 2 people - Non-Smoking,Yes,No,8256
APA Hotel Ueno Ekimae,Standard Double Room - Non-Smoking,Yes,No,9952
APA Hotel Shinjuku Gyoemmae,Double Room - Non-Smoking ,Yes,No,10563
APA Hotel Shinagawa Sengakuji Eki-Mae,Standard Double Room - Smoking,Yes,No,9507
Shinjuku Granbell Hotel,Standard Double Room with Loft - 12th Floor - Non-Smoking,Yes,No,18120
APA Hotel Asakusa Kuramae Ekimae,Standard Double Room,Yes,No,7706
remm Akihabara,Economy Double Room - Non-Smoking,Yes,No,12787
HOTEL KABUKI,Standard Queen Room,Yes,No,24907
Sotetsu Fresa Inn Kanda-Otemachi,Small Double Room - Non-Smoking,Yes,No,10786
APA Hotel Akihabara Ekikita,Standard Double Room - Non-Smoking,Yes,No,8956
Hotel Sunroute Plaza Shinjuku,Economy Double Room - Non-Smoking,Yes,No,17396
APA Hotel TKP Nippori Ekimae,Double Room with Small Double Bed - Non-Smoking,Yes,No,6179
Shinagawa Prince Hotel,Main Tower 6th-16th Floor Twin Room - Non-Smoking,Yes,No,19384
APA Hotel Ueno Hirokoji,Standard Double Room,Yes,No,8095
Hotel Keihan Asakusa,Economy Twin Room - Smoking,Yes,No,9107
HOTEL MYSTAYS PREMIER Omori,Comfort Queen Room - Non-Smoking ,No,Yes,6675
Hotel Monterey Hanzomon,Queen Room - Non-Smoking,No,Yes,13677
Sakura Hotel Nippori,?Western-Style Room with Shared Bathroom? for 2 person,No,Yes,5604
Villa Fontaine Grand Haneda Airport,Moderate Queen Room - Non-Smoking with Onsen ticket,No,Yes,15751
APA Hotel Asakusa Kuramae Kita,Double Room - Non-Smoking,Yes,No,7706
APA Hotel Nihombashi Bakuroyokoyama Ekimae,Standard Double Room,Yes,No,8956
APA Hotel Asakusa Kaminarimon,Double Room - Non-Smoking ,Yes,No,8562
APA Hotel Asakusa Kuramae,Double Room with Small Double Bed - Smoking,Yes,No,7706
Hotel Mystays Premier Akasaka,Superior Double Room - Smoking,Yes,No,15761
Toyoko Inn Tokyo Monzen-nakacho Eitaibashi,Economy Double Room - Non-Smoking,Yes,No,5721
APA Hotel Asakusa Shin Okachimachi Ekimae,Double Room,Yes,No,7656
APA Hotel Asakusa Ekimae,Standard Double Room - Non-Smoking,Yes,No,7839
FL Hotel Asakusa,Double Room,Yes,No,6140
Hotel Wing International Tokyo Akabane,Double Room with Small Double Bed - Smoking,Yes,No,5539
APA Hotel Asakusa Tawaramachi Ekimae,Double Room - Smoking,Yes,No,8956
Chisun Inn Kamata,Standard Double Room - Non-Smoking,Yes,No,7650
APA Hotel Kodemmacho-ekimae,Double Room - Smoking,Yes,No,7706
APA Hotel Sugamo Ekimae,Double Room - Non-Smoking ,Yes,No,7806
Shinjuku Washington Hotel,Economy Double Room - Non-Smoking,Yes,No,13378
E Hotel Higashi Shinjuku,Double Room - Smoking,Yes,No,9062
Sotetsu Fresa Inn Tokyo-Kyobashi,Premium Twin Room - Non-Smoking,Yes,No,17235
APA Hotel Kanda Ekimae,Double Room - Non-Smoking ,Yes,No,9507
APA Hotel Omori Ekimae,Standard Room - Non-Smoking (2 Adults),Yes,No,8256
APA Hotel Higashi Shinjuku Kabukicho Tower,Double Room - Non-Smoking ,Yes,No,11342
APA Hotel - Higashishinjuku Kabukicho Higashi,Double Room - Non-Smoking ,Yes,No,9952
APA Hotel Ueno Inaricho Ekikita,Standard Room - Non-Smoking (2 Adults),Yes,No,8173
Hotel Keihan Tokyo Yotsuya,Small Double Room - Non-Smoking,Yes,No,10674
APA Hotel Shinjuku Kabukicho Chuo,Standard Double Room - Non-Smoking,Yes,No,10563
Sotetsu Fresa Inn Tokyo Tamachi,Double Room - Non-Smoking - Annex,Yes,No,11213
Daiwa Roynet Hotel Nishi-Shinjuku PREMIER,Standard Double Room - Non-Smoking,Yes,No,23530
Akabane Holic Hotel,Double Room,Yes,No,7155
Best Western Hotel Fino Tokyo Akihabara,Double Room,Yes,No,9032
Tmark City Hotel Tokyo Omori,Double Room - Non-Smoking ,Yes,No,9292
APA Hotel Ueno Ekikita,Standard Double Room - Non-Smoking,Yes,No,7839
APA Hotel Keisei Ueno Ekimae,Double Room with Lake View and City View - Smoking,Yes,No,9952
Hotel Gracery Shinjuku,Superior Double Room - Non-Smoking,Yes,No,24604
Sotetsu Fresa Inn Hamamatsucho-Daimon,Double Room - Smoking,Yes,No,13343
APA Hotel Nihombashi Hamacho-eki Minami,Double Room with Small Double Bed  - Non-Smoking,Yes,No,7706
Mitsui Garden Hotel Jingugaien Tokyo Premier,Moderate (with balcony),No,Yes,26152
the b akasaka-mitsuke,Twin Room - Non-Smoking,Yes,No,12231
APA Hotel Asakusabashi-Ekikita,Double Room - Smoking,Yes,No,7706
Hotel East 21 Tokyo,Standard Twin Room - Non-Smoking (2 Adult),Yes,No,10730
Super Hotel Akihabara Suehirocho,Standard Double Room - Non-Smoking,Yes,No,7806
APA Hotel Kanda Jimbocho Ekihigashi,Double Room - Non-Smoking ,Yes,No,8956
APA Hotel Ginza Shintomicho Ekimae Kita - Former APA Hotel Shintomicho Ekikita,Double Room - Non-Smoking ,Yes,No,10563
The Royal Park Hotel Tokyo Haneda Airport Terminal 3,Superior Twin Room,Yes,No,19403
GLOU Higashi Shinjuku,Economy Double Room,Yes,No,8646
Sotetsu Fresa Inn Tokyo Kanda,Double Room - Non-Smoking ,Yes,No,9451
Tabist Urban Stays Asakusa,Double Room with Small Double Bed - Non-Smoking,Yes,No,6783
Richmond Hotel Premier Asakusa International,Standard Double Room - Smoking,Yes,No,12916
L stay & grow Minami Sunamachi,Double Room,Yes,No,7679
Hotel Intergate Tokyo Kyobashi,Double Room with Small Double Bed - Smoking,Yes,No,14581
Haneda Excel Hotel Tokyu,Economy Twin Room,Yes,No,18224
APA Hotel Akasaka-Mitsuke,Double Room with Small Double Bed - Non-Smoking,Yes,No,9657
JR Kyushu Hotel Blossom Shinjuku,Standard Double Room - Non-Smoking,Yes,No,23573
APA Hotel & Resort Tokyo Bay Shiomi,Double Room with Small Double Bed - Non-Smoking,Yes,No,7839
The Kanzashi Tokyo Asakusa,Double Room,Yes,No,9598
Hotel Keihan Tsukiji Ginza Grande,Casual Twin Room - Smoking,Yes,No,19139
Sotetsu Fresa Inn Tokyo Kinshicho,Double Room - Non-Smoking ,Yes,No,9217
APA Hotel TKP Tokyo Nishi-Kasai,Economy Double Room - Non-Smoking,Yes,No,7450
HOTEL MYSTAYS Asakusabashi,Standard Semi Double - Non-Smoking,Yes,No,8173
Tokyo Cherry Blooming Hotel Ueno ??????????3?? ??1?? ???????? ??wifi Dyson???BOB,Deluxe Double Room with Shower,Yes,No,8256
WPU Shinjuku,Double Room,Yes,No,10986
Sotetsu Fresa Inn Ochanomizu Jimbocho,Double Room - Smoking,Yes,No,10897
Hotel The Celestine Tokyo Shiba,Moderate Queen Room - Non-Smoking,No,Yes,24318
Sotetsu Fresa Inn Tokyo-Toyocho,Double Room with Small Double Bed - Smoking,Yes,No,9417
APA Hotel Higashi-Nihombashi-Ekimae,Double Room - Non-Smoking ,Yes,No,7706
Sotetsu Fresa Inn Ueno-Okachimachi,Semi Double Room - Non-Smoking ,Yes,No,9407
the b shimbashi toranomon,Standard Double Room - Non-Smoking,Yes,No,17123
Comfort Hotel Tokyo Kanda,Double Room - Non-Smoking ,Yes,No,9729
Mitsui Garden Hotel Ginza-gochome,Standard Double Room,Yes,No,23617
the square hotel GINZA,Moderate Double Room - Non-Smoking ,Yes,No,17435
HOTEL VARKIN Ikebukuro Nishiguchi,Economy Double Room,Yes,No,7160
Hotel Sunroute Asakusa,Double Room with Small Double Bed - Non-Smoking,Yes,No,8061
Super Hotel Lohas Ikebukuro-Eki Kitaguchi,Double Room with Small Double Bed,Yes,No,7005
Miyako City Tokyo Takanawa,Deluxe King Room,Yes,No,17012
Hotel Indigo Tokyo Shibuya,Standard Room,Yes,No,33913
APA Hotel Asakusa Kaminarimon Minami,Standard Double Room,Yes,No,9952
Red Roof Inn Kamata / Haneda Tokyo,Double Room with Bathroom,Yes,No,6613
APA Hotel Kanda-Eki Higashi,Double Room - Smoking,Yes,No,8256
APA Hotel Mita-Ekimae,Double Room - Non-Smoking ,Yes,No,12064
APA Hotel Hanzomon Hirakawacho,Double Room - Non-Smoking ,Yes,No,9657
Sotetsu Fresa Inn Higashi Shinjuku,Twin Room - Non-Smoking,Yes,No,16234
Forest Hongo by unito,Twin Room,Yes,No,10563
APA Hotel Hatchobori Shintomicho,Double Room - Non-Smoking ,Yes,No,9952
Hotel Wing International Shimbashi Onarimon,Double Room - Non Smoking,Yes,No,9257
APA Hotel Tokyo Itabashi Ekimae,Double Room with Small Double Bed - Smoking,Yes,No,7055
Sotetsu Grand Fresa Tokyo-Bay Ariake,Standard Double Room - Non-Smoking,Yes,No,14371
Hotel Asia Center of Japan,Standard Double Room - Smoking,Yes,No,9173
Hotel Monte Hermana Tokyo,Standard Twin Room,Yes,No,19014
Toyoko Inn Tokyo Shinagawa Konan-guchi Tennozu Isle,Family Twin A - Smoking,Yes,No,8756
THE BLOSSOM HIBIYA,Superior Double Room,Yes,No,24017
ELE Hotel Ginza East,Double Room,Yes,No,8562
Toyoko Inn Tokyo Keihin Tohoku sen Oji eki Kita guchi,Economy Double Room - Non-Smoking,Yes,No,5662
APA Hotel Akihabara Ekihigashi,Standard Double Room,Yes,No,10563
JR-East Hotel Mets Koenji,Single Room for 2 people - Non-Smoking,No,Yes,7307
JR-East Hotel Mets Komagome,Single Room (2 Adult) - Non-Smoking,No,Yes,6851
Candeo Hotels Ueno Park,Double Room - Non-Smoking ,Yes,No,8339
Villa Fontaine Grand Tokyo Ariake,Moderate Double Room with Public Bath Ticket - Non-Smoking,Yes,No,21427
HOTEL TABARD TOKYO,Double Room,Yes,No,9340
Sotetsu Fresa Inn Shimbashi Hibiyaguchi,Superior Double Room - Smoking,Yes,No,15567
Minn Kamata,Standard Quadruple Room,Yes,No,7561
APA Hotel & Resort Roppongi-Eki-Higashi,Double Room,Yes,No,9173
Tokyu Stay Nishi Shinjuku,Double Room,Yes,No,13443
HOTEL MYSTAYS Ueno East,Standard Double Room with Small Double Bed - Non-Smoking,Yes,No,5504
Keisei Richmond Hotel Tokyo Kinshicho,Standard Double Room - Non Smoking,Yes,No,8839
remm plus Ginza,Twin Room - Non Smoking,Yes,No,18455
Super Hotel Tokyo Otsuka,Double Room,Yes,No,7539
