HotelName,RoomType,DoubleBed,SingleBed,Price
Garden Living - Boutique Hotel,Standard Double Room,Yes,No,20931
numa I Arc Rooms & Apartments,Standard Suite,Yes,No,22143
Ocak Apartment & Hotel,Standard Studio,Yes,No,11950
Hotel Bonverde (Wannsee-Hof),Family Room,No,Yes,10984
Living Hotel Berlin Mitte,Business Double Room,Yes,No,12978
Hotel BIRGIT Berlin Mitte,Double Room with Sofa Bed,Yes,No,12648
City Hotel Ansbach am KaDeWe,Double Room with Private Bathroom,Yes,No,10457
Wilmina Hotel,Superior Double Room,Yes,No,38426
Living Hotel Weißensee,Business Double Room,Yes,No,20627
Hotel Delta am Potsdamer Platz,Double Room,Yes,No,16168
Mercure Hotel Berlin Zentrum Superior,Superior Double Room,Yes,No,16896
Hotel Adele,Classic Double Room,Yes,No,10896
Nena Apartments Metropolpark Berlin - Mitte -Adult Only,Studio,No,Yes,12829
Axel Hotel Berlin-Adults Only,City Double Room,Yes,No,13618
Apartment Hotel Wittenau,Studio Apartment,No,Yes,14938
Apartments Rosenthal Residence,Apartment (2 rooms),No,Yes,23559
Kurfürst am Kurfürstendamm,Economy Double Room with Shower ,Yes,No,11815
numa I Savi Rooms & Apartments,Double Room,Yes,No,27240
numa I Novela Rooms & Apartments,Double Room with Balcony,Yes,No,21440
Nena Apartments Hermannplatz,One-Bedroom Apartment,No,Yes,14674
limehome Berlin Luise Henriette Str - Digital Access,Suite,Yes,No,14762
Mr(s)STiL Design Apartments,One-Bedroom Apartment,No,Yes,17794
Gorki Apartments,Studio Apartment - 3,No,Yes,26515
Hotel Elba am Kurfürstendamm - Design Chambers,Standard Double Room,Yes,No,15817
The Social Hub Berlin Alexanderplatz,Partner offer option,No,Yes,12508
Hotel Oderberger,Comfort Double Room,Yes,No,28193
Hotel Karlshorst,Comfort Double Room,Yes,No,7829
The Mandala Hotel,Studio,No,Yes,22934
Apartmenthouse Berlin - Am Görlitzer Park,Superior Apartment,No,Yes,15377
Ringhotel Seehof,Standard Double Room with Lake View,Yes,No,16103
Grimm's Berlin Mitte,Double Room,Yes,No,19683
Hotel Forsthaus,Double or Twin Room,Yes,No,10193
numa I Kater Apartments,One-Bedroom Apartment,No,Yes,19947
H10 Ku'damm Lofts,Standard Loft for 2,Yes,No,20609
Living Hotel Großer Kurfürst,Superior Double Room,Yes,No,15817
ABION Villa Suites,Executive Double Room,Yes,No,25130
STAYERY Berlin Friedrichshain,Studio,No,Yes,14343
Aparthotel VEGA,Double or Twin Room,Yes,No,7636
Air in Berlin,Standard Room,Yes,No,14175
Hapimag Berlin Gendarmenmarkt,Comfort One-Bedroom Apartment,No,Yes,23408
Bölsche Hotel,Small Double Room,Yes,No,11863
centrovital Hotel Berlin,Superior Double Room,Yes,No,17316
Myer's Hotel Berlin,Comfort Double or Twin Room,Yes,No,24098
KPM Hotel & Residences,Superior,No,Yes,24252
Arabel Design Apartments,Studio Standard,Yes,No,15002
relexa hotel Stuttgarter Hof,Superior Double Room,Yes,No,22056
BENSIMON apartments Prenzlauer Berg,"Two-Bedroom Apartment with Balcony	",No,Yes,21440
Apartments Tempelhof,Two-Bedroom Apartment,No,Yes,17926
numa I Nook Rooms & Apartments,Superior Double Room,Yes,No,29964
Apartments Dahlie & Nelke,Two-Bedroom Apartment - Manteuffelstr.17.1,No,Yes,18716
Hotel Nikolai Residence,Double Room,Yes,No,21440
Apartments Schöneberg,"One-Bedroom Apartment with Balcony Tulpe - Ringbahnstraße 70, 12099 Berlin",No,Yes,16344
Mondrian Suites Berlin am Checkpoint Charlie,Comfort Apartment,No,Yes,16456
June Six Hotel Berlin City West,King Room - Disability Access,Yes,No,18716
AMC Hotel - Schöneberg,Economy Double Room,Yes,No,14808
Melarose Feng Shui Hotel,Double Room,Yes,No,19046
Louisa's Place,Superior Room,No,Yes,24780
Les Nations,Deluxe Triple ,No,Yes,14773
Hotel Neuer Fritz,Double Standard,Yes,No,16053
Hotel Brandies an der Messe,Superior Double Room,Yes,No,22143
SORAT Hotel Berlin,Double Room Classic,Yes,No,17477
Aparthotel Adagio Berlin Kurfürstendamm,Studio,No,Yes,15776
Schlosspark Hotel,Single Room with Balcony,No,Yes,22671
Hotel Grunewald,Single Room,No,Yes,13884
Hotel Goldmarie,Single Room with Private Bathroom,No,Yes,16528
Hotel Alt - Tegel,Single Room,No,Yes,16344
Hotel 26,Single Room,No,Yes,18198
Hotel Lützow,Classic Single Room,No,Yes,24428
Hampton by Hilton Birmingham Broad Street,Double Room,Yes,No,8612
"Staybridge Suites Birmingham, an IHG Hotel",Room Selected Upon Check-In,No,Yes,11149
Peter Scott House Birmingham,Standard Double Room,Yes,No,7626
"Birmingham Strathallan Hotel, BW Signature Collection",Cozy Double Room- Non Smoking,Yes,No,6095
Aparthotel Adagio Birmingham City Centre,Studio with Double Bed,Yes,No,8745
Castle Bromwich Hall; Sure Hotel Collection by Best Western,Double Room,Yes,No,9609
Campanile Hotel - Birmingham,Twin Room,Yes,No,9863
