Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount
IntercityHotel Berlin Hauptbahnhof,Berlin,"Mitte, Berlin",4,8.1,Very good,"13,218"
K&S Apartments,Berlin,"Pankow, Berlin",3,7.8,Good,607
Leonardo Hotel Berlin KU'DAMM,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8,Very good,"6,925"
martas Hotel Allegra Berlin,Berlin,"Mitte, Berlin",3,8,Very good,"2,165"
Leonardo Royal Hotel Berlin Alexanderplatz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,8.4,Very good,"10,244"
PLAZA INN Berlin Charlottenburg,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.3,Good,"3,898"
Citadines KurfÃ¼rstendamm Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.2,Very good,"1,562"
Grimm's Potsdamer Platz,Berlin,"Mitte, Berlin",3,8.8,Fabulous,"6,751"
Hotel AI KÃ¶nigshof,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.1,Good,"1,071"
MeliÃ¡ Berlin,Berlin,"Mitte, Berlin",4,8.4,Very good,"6,398"
MEININGER Hotel Berlin Tiergarten,Berlin,"Mitte, Berlin",3,8,Very good,"7,275"
TITANIC Gendarmenmarkt Berlin,Berlin,"Mitte, Berlin",5,8.5,Very good,"5,288"
IBB Hotel Berlin-Airport,Berlin,"Treptow-KÃ¶penick, Berlin",3,7.7,Good,"1,160"
Hotel Transit Loft,Berlin,"Prenzlauer Berg, Berlin",2,7.8,Good,"4,657"
NH Berlin KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.1,Very good,"3,513"
ibis Hotel Berlin Spandau,Berlin,"Spandau, Berlin",2,7.5,Good,"2,979"
"Max Brown Hotel Ku'damm, part of Sircle Collection",Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.3,Very good,"2,405"
Hampton by Hilton Berlin City West,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.2,Very good,"7,019"
Vienna House by Wyndham Andel's Berlin,Berlin,"Lichtenberg, Berlin",4,8.3,Very good,"5,711"
Nena Apartments - Kreuzberg 61,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,8.1,Very good,"1,997"
Art Nouveau Hotel am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.7,Fabulous,807
Hotel LÃ¼tzow,Berlin,"Mitte, Berlin",3,7.4,Good,"2,391"
nhow Berlin,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,8.3,Very good,"5,903"
Boutique Hotel ChÃ¢teau Royal,Berlin,"Mitte, Berlin",5,8.8,Fabulous,452
Hotel 38,Berlin,"Mitte, Berlin",3,8.3,Very good,"3,404"
Good Morning Berlin City West,Berlin,"Reinickendorf, Berlin",2,6.5,Review score,"1,697"
Businesshotel Berlin,Berlin,"Pankow, Berlin",3,8,Very good,994
Park Plaza Berlin Kudamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",,,,"4,418"
Boutique Hotel Kerlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.3,Very good,324
Ocak Hotel,Berlin,"Mitte, Berlin",4,7.4,Good,"1,394"
Hotel Kastanienhof,Berlin,"Mitte, Berlin",3,8.3,Very good,512
MEININGER Hotel Berlin Alexanderplatz,Berlin,"Prenzlauer Berg, Berlin",3,7.9,Good,"1,674"
Novum Hotel Aldea Berlin Centrum,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,7.1,Good,"8,546"
Victor's Residenz-Hotel Berlin Tegel,Berlin,"Reinickendorf, Berlin",3,7.6,Good,"1,669"
SO/Berlin Das Stue,Berlin,"Mitte, Berlin",5,8.8,Fabulous,393
Hotel Eden am Zoo,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,5.5,Review score,"1,336"
Select Hotel Style Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.2,Very good,"2,559"
mk hotel berlin,Berlin,"Mitte, Berlin",2,6.6,Review score,"1,043"
Artim Hotel,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",4,7.6,Good,"3,172"
Sheraton Berlin Grand Hotel Esplanade,Berlin,"Mitte, Berlin",5,7.8,Good,"1,557"
Hotel am SchloÃ KÃ¶penick by Golden Tulip,Berlin,"Treptow-KÃ¶penick, Berlin",4,6.9,Review score,"2,477"
Hotel Nova,Berlin,"Lichtenberg, Berlin",2,6.2,Review score,443
Select Hotel Berlin Spiegelturm,Berlin,"Spandau, Berlin",4,7.6,Good,"3,048"
Quentin Boutique Hotel,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,6.5,Review score,"1,180"
Yggotel Ravn,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8,Very good,"2,275"
Hyperion Hotel Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5,8.5,Very good,"7,128"
Hotel SchÃ¶neberg,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,8,Very good,580
Mercure Hotel Berlin City West,Berlin,"Spandau, Berlin",4,6.8,Review score,"1,785"
"Hotel am Steinplatz, Autograph Collection",Berlin,"Charlottenburg-Wilmersdorf, Berlin",5,8.8,Fabulous,329
Hotel BIRGIT Berlin Mitte,Berlin,"Mitte, Berlin",3,8.2,Very good,"1,998"
Capri by Fraser Berlin,Berlin,"Mitte, Berlin",4,8.5,Very good,"2,009"
ADELANTE Boutique Hotel,Berlin,"Mitte, Berlin",4,8.9,Fabulous,888
Hotel Domicil Berlin by Golden Tulip,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,7.7,Good,"1,097"
acom Hotel Berlin-City South,Berlin,"NeukÃ¶lln, Berlin",3,7.2,Good,"2,926"
Dorint KurfÃ¼rstendamm Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",5,8.3,Very good,"2,653"
Hotel Abendstern,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,6.2,Review score,696
Flattering - Berlin,Berlin,"Mitte, Berlin",3,8.4,Very good,20
Die Fabrik - baxpax Hotel,Berlin,"Friedrichshain-Kreuzberg, Berlin",,,,"2,217"
Hotel MANI by AMANO,Berlin,"Mitte, Berlin",3,7.9,Good,"1,442"
Hotel Castell am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.1,Good,"1,251"
about:berlin Hotel,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.6,Fabulous,"3,372"
GrÃ¼nau Hotel,Berlin,"Treptow-KÃ¶penick, Berlin",,,,625
Hotel Bohemia,Berlin,"NeukÃ¶lln, Berlin",3,7.3,Good,281
harry's home hotel & apartments,Berlin,"Mitte, Berlin",4,8.6,Fabulous,351
Garni-Hotel An der Weide,Berlin,"Marzahn-Hellersdorf, Berlin",3,7.5,Good,574
New Berlin,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,8.1,Very good,"1,717"
Amstel House Hostel,Berlin,"Mitte, Berlin",2,7.8,Good,"3,515"
Select Hotel Berlin The Wall,Berlin,"Mitte, Berlin",4,8.4,Very good,"3,837"
Hotel Hansablick,Berlin,"Mitte, Berlin",3,8.3,Very good,"1,258"
Art Hotel Charlottenburger Hof Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.3,Good,"2,561"
BIG MAMA Berlin,Berlin,"Mitte, Berlin",,,,"1,627"
NH Berlin Alexanderplatz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,8.1,Very good,"3,353"
Hotel Messe am Funkturm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2,6.2,Review score,"1,562"
TITANIC Chaussee Berlin,Berlin,"Mitte, Berlin",4,8.2,Very good,"9,817"
The Weinmeister Berlin-Mitte - Adults Only,Berlin,"Mitte, Berlin",4,8.2,Very good,"1,151"
Seehotel Grunewald,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8,Very good,"1,753"
sly Berlin,Berlin,"Friedrichshain-Kreuzberg, Berlin",,,,"3,983"
Hotel Benn,Berlin,"Spandau, Berlin",3,8.4,Very good,326
"Sir Savigny Hotel, Berlin, a Member of Design Hotels",Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.5,Very good,886
Hotel Kaiser,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.1,Good,"4,200"
Pullman Berlin Schweizerhof,Berlin,"Mitte, Berlin",5,8.5,Very good,"1,099"
Hotel Europa City,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,6.6,Review score,"2,847"
"Hotel Indigo Berlin â Kuâdamm, an IHG Hotel",Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.5,Very good,839
Aspria Berlin Ku'damm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8,Very good,349
MÃ¼ggelseeperle,Berlin,"Treptow-KÃ¶penick, Berlin",,,,"1,163"
Hotel Q! Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.6,Fabulous,"4,446"
Hotel Atrium Charlottenburg,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,6.5,Review score,"1,229"
Hotel Delta am Potsdamer Platz,Berlin,"Mitte, Berlin",3,7.2,Good,"19,232"
numa I Savi Rooms & Apartments,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.6,Fabulous,438
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,8.4,Very good,"4,248"
Hotel Klassik Berlin,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,6.8,Review score,"1,725"
Airporthotel Berlin-Adlershof,Berlin,"Treptow-KÃ¶penick, Berlin",3,7.7,Good,"1,092"
Casa Camper Berlin,Berlin,"Mitte, Berlin",4,9.2,Superb,846
LOGINN Hotel Berlin Airport,Berlin,"Treptow-KÃ¶penick, Berlin",,,,"1,064"
KurfÃ¼rst am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.3,Good,702
Hotel-Pension Funk am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,8.1,Very good,546
Nena Apartments Hermannplatz,Berlin,"NeukÃ¶lln, Berlin",3,7.8,Good,943
Hotel the YARD,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,8.3,Very good,802
Hotel Sachsenhof,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,8.3,Very good,"4,370"
Hotel Villa Konstanz,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.3,Good,832
"Wilde Aparthotels by Staycity, Berlin, Checkpoint Charlie",Berlin,"Mitte, Berlin",4,9.1,Superb,"1,023"
the niu Dwarf,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,8.5,Very good,"3,942"
"Schillinger-Berlin - dance, sleep, repeat!",Berlin,"NeukÃ¶lln, Berlin",3,7.8,Good,136
Old Town Hotel,Berlin,"Prenzlauer Berg, Berlin",2,8.3,Very good,754
Hotel Garni Aaberna,Berlin,"Mitte, Berlin",,,,832
Hotel Chateau KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,7.8,Good,"1,921"
Classik Hotel Alexander Plaza,Berlin,"Mitte, Berlin",4,8.5,Very good,"2,438"
Hotel Grenzfall,Berlin,"Mitte, Berlin",3,8.1,Very good,818
"Regent Berlin, an IHG Hotel",Berlin,"Mitte, Berlin",5,9,Superb,684
SensCity Hotel Berlin Spandau,Berlin,"Spandau, Berlin",3,7.8,Good,"1,695"
the niu Hide,Berlin,"Lichtenberg, Berlin",3,8.4,Very good,"3,552"
Seminaris CampusHotel Berlin,Berlin,"Steglitz-Zehlendorf, Berlin",,,,"2,596"
ADAPT APARTMENTS BERLIN - Adlershof,Berlin,"Treptow-KÃ¶penick, Berlin",4,8.8,Fabulous,"2,734"
Solitaire Hotel,Berlin,"Pankow, Berlin",3,8.2,Very good,933
H24 Berlin Lichtenberg,Berlin,"Lichtenberg, Berlin",,,,"1,765"
Hotel Amadeus ROYAL Berlin,Berlin,Berlin,3,5.8,Review score,907
aletto Hotel Potsdamer Platz,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,8.7,Fabulous,"7,508"
City Pension Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2,7.1,Good,"1,423"
Nena Apartments Metropolpark Berlin - Mitte -Adult Only,Berlin,"Mitte, Berlin",3,8.1,Very good,"1,733"
Victor's Residenz-Hotel Berlin,Berlin,"Prenzlauer Berg, Berlin",4,8,Very good,"1,514"
LINDEMANN'S,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,8.4,Very good,"2,060"
Hollywood Media Hotel am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.3,Very good,"7,838"
Hotel Kiez Pension Berlin,Berlin,"Friedrichshain-Kreuzberg, Berlin",3,8.1,Very good,"1,829"
Safestay Berlin Kurfurstendamm,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,7.7,Good,"2,268"
DORMERO Hotel Berlin Ku'damm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,6.7,Review score,"1,660"
Hotel Alter Markt,Berlin,"Treptow-KÃ¶penick, Berlin",,,,282
Wil7 Boutique Hotel,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,9.1,Superb,432
Living Hotel Berlin Mitte,Berlin,"Mitte, Berlin",4,8.1,Very good,"1,041"
B&B Hotel Berlin-Charlottenburg,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2,7.9,Good,"3,285"
The Mandala Suites,Berlin,"Mitte, Berlin",4,9,Superb,"1,241"
Hotel & Apartments Zarenhof Berlin Prenzlauer Berg,Berlin,"Prenzlauer Berg, Berlin",,,,"1,797"
Das Literaturhotel Berlin,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,8.1,Very good,125
numa l Drift Rooms & Apartments,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",4,8.5,Very good,"2,224"
Hotel Pension Bernstein am KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,6.8,Review score,760
Ocak Apartment & Hotel,Berlin,"Mitte, Berlin",3,7.2,Good,"1,161"
Anna 1908,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",3,8.4,Very good,"1,688"
Apple City Hotel,Berlin,"Mitte, Berlin",3,6.9,Review score,"1,885"
The Circus Hotel,Berlin,"Mitte, Berlin",4,8.9,Fabulous,571
H+ Hotel Berlin Mitte,Berlin,"Mitte, Berlin",4,8.4,Very good,"7,008"
Landhaus Alpinia,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",4,8.1,Very good,851
Living Hotel WeiÃensee,Berlin,"Pankow, Berlin",4,8.3,Very good,"1,862"
Clipper Boardinghouse - Berlin-Gendarmenmarkt,Berlin,"Mitte, Berlin",4,8.8,Fabulous,"1,382"
Living Hotel GroÃer KurfÃ¼rst,Berlin,"Mitte, Berlin",4,8.4,Very good,"3,510"
Myer's Hotel Berlin,Berlin,"Prenzlauer Berg, Berlin",4,8.9,Fabulous,736
H10 Ku'damm Lofts,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.5,Very good,371
Hotel Albertin,Berlin,"Pankow, Berlin",,,,708
Gorki Apartments,Berlin,"Mitte, Berlin",5,9.2,Superb,244
Hotel Elba am KurfÃ¼rstendamm - Design Chambers,Berlin,"Charlottenburg-Wilmersdorf, Berlin",,,,985
Hotel Gasteiner Hof,Berlin,"Charlottenburg-Wilmersdorf, Berlin",2,6.8,Review score,528
acama Hotel & Hostel Kreuzberg,Berlin,"Friedrichshain-Kreuzberg, Berlin",2,7.5,Good,"3,523"
COSMO Hotel Berlin Mitte,Berlin,"Mitte, Berlin",4,8.6,Fabulous,"2,076"
DAS SCHMÃCKWITZ,Berlin,"Treptow-KÃ¶penick, Berlin",3,6,Review score,"1,406"
