Hotel Name,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3
Leonardo Royal Hotel Berlin Alexanderplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
PLAZA INN Berlin Charlottenburg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Full English/Irish
Citadines Kurfürstendamm Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegan,Continental
Grimm's Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
Hotel AI Königshof,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,Continental
Meliá Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,N/A
MEININGER Hotel Berlin Tiergarten,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,N/A
TITANIC Gendarmenmarkt Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,N/A
IBB Hotel Berlin-Airport,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Vegetarian,N/A
Hotel Transit Loft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Full English/Irish
NH Berlin Kurfürstendamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Continental
ibis Hotel Berlin Spandau,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,N/A
"Max Brown Hotel Ku'damm, part of Sircle Collection",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Hampton by Hilton Berlin City West,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Ameican,N/A
Vienna House by Wyndham Andel's Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Full English/Irish
Nena Apartments - Kreuzberg 61,No,Yes,Yes,Yes,No,Yes,Yes,Asian,N/A,Continental
Art Nouveau Hotel am Kurfürstendamm,No,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,N/A,Vegan
Hotel Lützow,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,Continental
nhow Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Full English/Irish,N/A
Boutique Hotel Château Royal,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,N/A,N/A
Hotel 38,Yes,No,Yes,Yes,No,Yes,Yes,American,Vegan,N/A
Good Morning Berlin City West,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Businesshotel Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,Full English/Irish
Park Plaza Berlin Kudamm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental
Boutique Hotel Kerlin,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,N/A
Ocak Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,Continental
Hotel Kastanienhof,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,N/A
MEININGER Hotel Berlin Alexanderplatz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,Full English/Irish
Novum Hotel Aldea Berlin Centrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Victor's Residenz-Hotel Berlin Tegel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Vegan
SO/Berlin Das Stue,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,Continental
Hotel Eden am Zoo,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Ameican,N/A
Select Hotel Style Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Vegan,Continental,N/A
mk hotel berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,American
Artim Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,N/A
Sheraton Berlin Grand Hotel Esplanade,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Full English/Irish
Hotel am Schloß Köpenick by Golden Tulip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
Hotel Nova,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,N/A
Select Hotel Berlin Spiegelturm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegan,Continental
Quentin Boutique Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,N/A
Yggotel Ravn,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Asian,Full English/Irish
Hyperion Hotel Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegetarian,Continental
Hotel Schöneberg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,Vegan
Mercure Hotel Berlin City West,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,Continental
"Hotel am Steinplatz, Autograph Collection",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,N/A
Hotel BIRGIT Berlin Mitte,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,N/A
Capri by Fraser Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
ADELANTE Boutique Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Hotel Domicil Berlin by Golden Tulip,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Full English/Irish
acom Hotel Berlin-City South,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Ameican,N/A
Dorint Kurfürstendamm Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,N/A
Hotel Abendstern,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Asian,N/A
Flattering - Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,Full English/Irish
Die Fabrik - baxpax Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Continental
Hotel MANI by AMANO,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Full English/Irish,N/A
Hotel Castell am Kurfürstendamm,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Continental
about:berlin Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Vegan,N/A
Grünau Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Continental,Full English/Irish
Hotel Bohemia,Yes,Yes,Yes,Yes,No,Yes,Yes,Vegan,Asian,Continental
